W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
iterations: 10000000
learning_rate: 1e-07
user_data_representation: average
scale_factor_output: 1.2
batch_size: 64
allow_negative_data: True
use_permutations: True
movie_amount_limit: 0
labels_data_type: decimal
limit_permutations: 64
loss: Tensor("Add_6:0", shape=(), dtype=float32)
optimizer: <tensorflow.python.training.adam.AdamOptimizer object at 0x7f6e9986c710>
use_cache: True
hidden_layers: 3
[       440] Acc: 0.3525 | Acc s/ns: 0.8361 | d_RMSE: 1.0703 | RMSE: 1.0703 | Loss: 23.9249 |   | B. acc: 0.3535 | B. s/ns: 0.8361 | B. RMSE: 1.0702
[       460] Acc: 0.3528 | Acc s/ns: 0.8353 | d_RMSE: 1.0696 | RMSE: 1.0696 | Loss: 24.2626 |   | B. acc: 0.3535 | B. s/ns: 0.8361 | B. RMSE: 1.0696 GOOD
[       480] Acc: 0.3539 | Acc s/ns: 0.8316 | d_RMSE: 1.0700 | RMSE: 1.0700 | Loss: 26.4739 |   | B. acc: 0.3539 | B. s/ns: 0.8361 | B. RMSE: 1.0696
[       500] Acc: 0.3548 | Acc s/ns: 0.8291 | d_RMSE: 1.0715 | RMSE: 1.0715 | Loss: 21.7428 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0696
[       520] Acc: 0.3547 | Acc s/ns: 0.8302 | d_RMSE: 1.0687 | RMSE: 1.0687 | Loss: 31.0885 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0687 GOOD
[       540] Acc: 0.3548 | Acc s/ns: 0.8301 | d_RMSE: 1.0689 | RMSE: 1.0689 | Loss: 27.3013 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0687
[       560] Acc: 0.3541 | Acc s/ns: 0.8323 | d_RMSE: 1.0681 | RMSE: 1.0681 | Loss: 21.3716 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0681 GOOD
[       580] Acc: 0.3539 | Acc s/ns: 0.8328 | d_RMSE: 1.0690 | RMSE: 1.0690 | Loss: 27.4091 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0681
[       600] Acc: 0.3543 | Acc s/ns: 0.8316 | d_RMSE: 1.0670 | RMSE: 1.0670 | Loss: 29.4804 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0670 GOOD
[       620] Acc: 0.3546 | Acc s/ns: 0.8306 | d_RMSE: 1.0673 | RMSE: 1.0673 | Loss: 25.2106 |   | B. acc: 0.3548 | B. s/ns: 0.8361 | B. RMSE: 1.0670
[       640] Acc: 0.3553 | Acc s/ns: 0.8278 | d_RMSE: 1.0663 | RMSE: 1.0663 | Loss: 35.5004 |   | B. acc: 0.3553 | B. s/ns: 0.8361 | B. RMSE: 1.0663 GOOD
[       660] Acc: 0.3548 | Acc s/ns: 0.8300 | d_RMSE: 1.0661 | RMSE: 1.0661 | Loss: 26.5784 |   | B. acc: 0.3553 | B. s/ns: 0.8361 | B. RMSE: 1.0661 GOOD
[       680] Acc: 0.3548 | Acc s/ns: 0.8304 | d_RMSE: 1.0683 | RMSE: 1.0683 | Loss: 23.4308 |   | B. acc: 0.3553 | B. s/ns: 0.8361 | B. RMSE: 1.0661
[       700] Acc: 0.3557 | Acc s/ns: 0.8259 | d_RMSE: 1.0685 | RMSE: 1.0685 | Loss: 21.7146 |   | B. acc: 0.3557 | B. s/ns: 0.8361 | B. RMSE: 1.0661
[       720] Acc: 0.3549 | Acc s/ns: 0.8296 | d_RMSE: 1.0653 | RMSE: 1.0653 | Loss: 25.4471 |   | B. acc: 0.3557 | B. s/ns: 0.8361 | B. RMSE: 1.0653 GOOD
[       740] Acc: 0.3550 | Acc s/ns: 0.8298 | d_RMSE: 1.0655 | RMSE: 1.0655 | Loss: 28.3510 |   | B. acc: 0.3557 | B. s/ns: 0.8361 | B. RMSE: 1.0653
